method,planted_wgds,duprate,simid,dup_cost,solution_cost,solution_nbdups,solution_nblosses,time
segdup,1,10,1,5,11,2,1,206.251
insider,1,10,1,5,11.0,2.0,1.0,0.067
fastmultrec_greedy,1,10,1,5,11.0,2.0,1.0,0.214
lcamap,1,10,1,5,11.0,2.0,1.0,0.041
segdup,1,10,1,10,21,2,1,180.237
insider,1,10,1,10,21.0,2.0,1.0,0.069
fastmultrec_greedy,1,10,1,10,21.0,2.0,1.0,0.212
lcamap,1,10,1,10,21.0,2.0,1.0,0.040
segdup,1,7,1,5,300,51,45,234.273
insider,1,7,1,5,300.0,51.0,45.0,0.157
fastmultrec_greedy,1,7,1,5,300.0,51.0,45.0,0.330
lcamap,1,7,1,5,300.0,51.0,45.0,0.061
segdup,1,7,1,10,555,51,45,224.843
insider,1,7,1,10,545.0,47.0,75.0,0.313
fastmultrec_greedy,1,7,1,10,555.0,51.0,45.0,0.333
lcamap,1,7,1,10,555.0,51.0,45.0,0.057
segdup,2,10,1,5,29,5,4,562.197
insider,2,10,1,5,29.0,5.0,4.0,0.166
fastmultrec_greedy,2,10,1,5,29.0,5.0,4.0,0.593
lcamap,2,10,1,5,29.0,5.0,4.0,0.096
segdup,2,10,1,10,54,5,4,533.382
insider,2,10,1,10,54.0,5.0,4.0,0.163
fastmultrec_greedy,2,10,1,10,54.0,5.0,4.0,0.590
lcamap,2,10,1,10,54.0,5.0,4.0,0.092
segdup,2,7,1,5,1397,118,807,351.084
insider,2,7,1,5,1377.0,108.0,837.0,0.198
fastmultrec_greedy,2,7,1,5,1377.0,109.0,832.0,3.139
lcamap,2,7,1,5,1397.0,118.0,807.0,0.061
segdup,2,7,1,10,1969,114,829,346.286
insider,2,7,1,10,1888.0,95.0,938.0,0.322
fastmultrec_greedy,2,7,1,10,1905.0,103.0,875.0,4.861
lcamap,2,7,1,10,1987.0,118.0,807.0,0.059
segdup,1,10,2,5,11,2,1,290.474
insider,1,10,2,5,11.0,2.0,1.0,0.086
fastmultrec_greedy,1,10,2,5,11.0,2.0,1.0,0.289
lcamap,1,10,2,5,11.0,2.0,1.0,0.055
segdup,1,10,2,10,21,2,1,277.281
insider,1,10,2,10,21.0,2.0,1.0,0.089
fastmultrec_greedy,1,10,2,10,21.0,2.0,1.0,0.293
lcamap,1,10,2,10,21.0,2.0,1.0,0.051
segdup,1,7,2,5,505,67,170,177.602
insider,1,7,2,5,505.0,67.0,170.0,0.117
fastmultrec_greedy,1,7,2,5,505.0,67.0,170.0,0.234
lcamap,1,7,2,5,505.0,67.0,170.0,0.047
segdup,1,7,2,10,840,67,170,171.797
insider,1,7,2,10,836.0,66.0,176.0,0.181
fastmultrec_greedy,1,7,2,10,840.0,67.0,170.0,0.230
lcamap,1,7,2,10,840.0,67.0,170.0,0.044
segdup,2,10,2,5,21,4,1,131.478
insider,2,10,2,5,21.0,4.0,1.0,0.056
fastmultrec_greedy,2,10,2,5,21.0,4.0,1.0,0.162
lcamap,2,10,2,5,21.0,4.0,1.0,0.034
segdup,2,10,2,10,41,4,1,129.521
insider,2,10,2,10,41.0,4.0,1.0,0.058
fastmultrec_greedy,2,10,2,10,41.0,4.0,1.0,0.166
lcamap,2,10,2,10,41.0,4.0,1.0,0.033
segdup,2,7,2,5,3038,214,1968,464.562
insider,2,7,2,5,2984.0,193.0,2019.0,0.263
fastmultrec_greedy,2,7,2,5,2988.0,195.0,2013.0,6.214
lcamap,2,7,2,5,3038.0,214.0,1968.0,0.073
segdup,2,7,2,10,4052,200,2052,465.473
insider,2,7,2,10,3888.0,171.0,2178.0,0.401
fastmultrec_greedy,2,7,2,10,3911.0,181.0,2101.0,11.882
lcamap,2,7,2,10,4108.0,214.0,1968.0,0.076
segdup,1,10,3,5,5,1,0,246.314
insider,1,10,3,5,5.0,1.0,0.0,0.086
fastmultrec_greedy,1,10,3,5,5.0,1.0,0.0,0.269
lcamap,1,10,3,5,5.0,1.0,0.0,0.050
segdup,1,10,3,10,10,1,0,220.764
insider,1,10,3,10,10.0,1.0,0.0,0.084
fastmultrec_greedy,1,10,3,10,10.0,1.0,0.0,0.268
lcamap,1,10,3,10,10.0,1.0,0.0,0.051
segdup,1,7,3,5,294,43,79,140.620
insider,1,7,3,5,294.0,43.0,79.0,0.088
fastmultrec_greedy,1,7,3,5,294.0,43.0,79.0,0.168
lcamap,1,7,3,5,294.0,43.0,79.0,0.031
