method,nh,np,rb,pc,pj,repl,dup_cost,solution_cost,solution_nbdups,solution_nblosses,time
segdup,50,20,2.0,0.5,0.5,1,25,422,6,272,0.032773
fastmultrec,50,20,2.0,0.5,0.5,1,25,374.0,4.0,274.0,0.018169
insider,50,20,2.0,0.5,0.5,1,25,374.0,4.0,274.0,0.008359
lca,50,20,2.0,0.5,0.5,1,25,443.0,7.0,268.0,0.003957
segdup,50,20,2.0,0.5,0.5,1,5,303,7,268,0.030964
fastmultrec,50,20,2.0,0.5,0.5,1,5,294.0,4.0,274.0,0.019488
insider,50,20,2.0,0.5,0.5,1,5,294.0,4.0,274.0,0.006280
lca,50,20,2.0,0.5,0.5,1,5,303.0,7.0,268.0,0.003756
segdup,50,20,2.0,0.5,0.5,1,10,325,5,275,0.034968
fastmultrec,50,20,2.0,0.5,0.5,1,10,314.0,4.0,274.0,0.020248
insider,50,20,2.0,0.5,0.5,1,10,314.0,4.0,274.0,0.005778
lca,50,20,2.0,0.5,0.5,1,10,338.0,7.0,268.0,0.003577
segdup,50,20,2.0,0.5,0.5,1,15,348,5,273,0.032453
fastmultrec,50,20,2.0,0.5,0.5,1,15,334.0,4.0,274.0,0.021153
insider,50,20,2.0,0.5,0.5,1,15,334.0,4.0,274.0,0.005675
lca,50,20,2.0,0.5,0.5,1,15,373.0,7.0,268.0,0.003284
segdup,50,20,2.0,0.5,0.5,1,20,354,4,274,0.028612
fastmultrec,50,20,2.0,0.5,0.5,1,20,354.0,4.0,274.0,0.019647
insider,50,20,2.0,0.5,0.5,1,20,354.0,4.0,274.0,0.006089
lca,50,20,2.0,0.5,0.5,1,20,408.0,7.0,268.0,0.003756
segdup,50,20,2.0,0.5,0.5,2,25,385,3,310,0.029324
fastmultrec,50,20,2.0,0.5,0.5,2,25,383.0,3.0,308.0,0.014777
insider,50,20,2.0,0.5,0.5,2,25,383.0,3.0,308.0,0.007200
lca,50,20,2.0,0.5,0.5,2,25,429.0,5.0,304.0,0.003532
segdup,50,20,2.0,0.5,0.5,2,5,326,4,306,0.024942
fastmultrec,50,20,2.0,0.5,0.5,2,5,323.0,3.0,308.0,0.015223
insider,50,20,2.0,0.5,0.5,2,5,323.0,3.0,308.0,0.005495
lca,50,20,2.0,0.5,0.5,2,5,329.0,5.0,304.0,0.003538
segdup,50,20,2.0,0.5,0.5,2,10,338,3,308,0.028210
fastmultrec,50,20,2.0,0.5,0.5,2,10,338.0,3.0,308.0,0.015505
insider,50,20,2.0,0.5,0.5,2,10,338.0,3.0,308.0,0.005818
lca,50,20,2.0,0.5,0.5,2,10,354.0,5.0,304.0,0.003794
segdup,50,20,2.0,0.5,0.5,2,15,353,3,308,0.032349
fastmultrec,50,20,2.0,0.5,0.5,2,15,353.0,3.0,308.0,0.015905
insider,50,20,2.0,0.5,0.5,2,15,353.0,3.0,308.0,0.004961
lca,50,20,2.0,0.5,0.5,2,15,379.0,5.0,304.0,0.003227
segdup,50,20,2.0,0.5,0.5,2,20,368,3,308,0.027332
fastmultrec,50,20,2.0,0.5,0.5,2,20,368.0,3.0,308.0,0.014342
insider,50,20,2.0,0.5,0.5,2,20,368.0,3.0,308.0,0.006534
lca,50,20,2.0,0.5,0.5,2,20,404.0,5.0,304.0,0.004978
segdup,50,20,2.0,0.5,0.5,3,25,637,9,412,0.040090
fastmultrec,50,20,2.0,0.5,0.5,3,25,536.0,5.0,411.0,0.037343
insider,50,20,2.0,0.5,0.5,3,25,536.0,5.0,411.0,0.008027
lca,50,20,2.0,0.5,0.5,3,25,650.0,10.0,400.0,0.004878
segdup,50,20,2.0,0.5,0.5,3,5,450,10,400,0.047351
fastmultrec,50,20,2.0,0.5,0.5,3,5,436.0,5.0,411.0,0.040342
insider,50,20,2.0,0.5,0.5,3,5,436.0,5.0,411.0,0.007362
lca,50,20,2.0,0.5,0.5,3,5,450.0,10.0,400.0,0.005414
segdup,50,20,2.0,0.5,0.5,3,10,479,7,409,0.046174
fastmultrec,50,20,2.0,0.5,0.5,3,10,461.0,5.0,411.0,0.035702
insider,50,20,2.0,0.5,0.5,3,10,461.0,5.0,411.0,0.008234
lca,50,20,2.0,0.5,0.5,3,10,500.0,10.0,400.0,0.004301
segdup,50,20,2.0,0.5,0.5,3,15,513,7,408,0.049085
fastmultrec,50,20,2.0,0.5,0.5,3,15,486.0,5.0,411.0,0.038517
insider,50,20,2.0,0.5,0.5,3,15,486.0,5.0,411.0,0.007873
lca,50,20,2.0,0.5,0.5,3,15,550.0,10.0,400.0,0.004616
segdup,50,20,2.0,0.5,0.5,3,20,549,7,409,0.047519
fastmultrec,50,20,2.0,0.5,0.5,3,20,511.0,5.0,411.0,0.038590
insider,50,20,2.0,0.5,0.5,3,20,511.0,5.0,411.0,0.008350
lca,50,20,2.0,0.5,0.5,3,20,600.0,10.0,400.0,0.004324
segdup,50,20,2.0,0.5,0.5,4,25,596,12,296,0.042662
fastmultrec,50,20,2.0,0.5,0.5,4,25,497.0,8.0,297.0,0.031224
insider,50,20,2.0,0.5,0.5,4,25,497.0,8.0,297.0,0.008104
lca,50,20,2.0,0.5,0.5,4,25,638.0,14.0,288.0,0.005006
segdup,50,20,2.0,0.5,0.5,4,5,358,14,288,0.038287
fastmultrec,50,20,2.0,0.5,0.5,4,5,337.0,8.0,297.0,0.030948
insider,50,20,2.0,0.5,0.5,4,5,337.0,8.0,297.0,0.005994
lca,50,20,2.0,0.5,0.5,4,5,358.0,14.0,288.0,0.003538
segdup,50,20,2.0,0.5,0.5,4,10,415,12,295,0.040670
fastmultrec,50,20,2.0,0.5,0.5,4,10,377.0,8.0,297.0,0.029664
insider,50,20,2.0,0.5,0.5,4,10,377.0,8.0,297.0,0.006103
lca,50,20,2.0,0.5,0.5,4,10,428.0,14.0,288.0,0.003765
segdup,50,20,2.0,0.5,0.5,4,15,462,11,297,0.037398
fastmultrec,50,20,2.0,0.5,0.5,4,15,417.0,8.0,297.0,0.031439
insider,50,20,2.0,0.5,0.5,4,15,417.0,8.0,297.0,0.009356
lca,50,20,2.0,0.5,0.5,4,15,498.0,14.0,288.0,0.003683
segdup,50,20,2.0,0.5,0.5,4,20,537,12,297,0.039058
fastmultrec,50,20,2.0,0.5,0.5,4,20,457.0,8.0,297.0,0.030611
insider,50,20,2.0,0.5,0.5,4,20,457.0,8.0,297.0,0.009493
lca,50,20,2.0,0.5,0.5,4,20,568.0,14.0,288.0,0.003889
segdup,50,20,2.0,0.5,0.5,5,25,351,6,201,0.019879
fastmultrec,50,20,2.0,0.5,0.5,5,25,351.0,6.0,201.0,0.009151
insider,50,20,2.0,0.5,0.5,5,25,351.0,6.0,201.0,0.006260
lca,50,20,2.0,0.5,0.5,5,25,351.0,6.0,201.0,0.003510
segdup,50,20,2.0,0.5,0.5,5,5,231,6,201,0.018952
fastmultrec,50,20,2.0,0.5,0.5,5,5,231.0,6.0,201.0,0.007759
insider,50,20,2.0,0.5,0.5,5,5,231.0,6.0,201.0,0.005046
lca,50,20,2.0,0.5,0.5,5,5,231.0,6.0,201.0,0.004544
segdup,50,20,2.0,0.5,0.5,5,10,261,6,201,0.017834
fastmultrec,50,20,2.0,0.5,0.5,5,10,261.0,6.0,201.0,0.007262
insider,50,20,2.0,0.5,0.5,5,10,261.0,6.0,201.0,0.005021
lca,50,20,2.0,0.5,0.5,5,10,261.0,6.0,201.0,0.004911
segdup,50,20,2.0,0.5,0.5,5,15,291,6,201,0.017673
fastmultrec,50,20,2.0,0.5,0.5,5,15,291.0,6.0,201.0,0.006468
insider,50,20,2.0,0.5,0.5,5,15,291.0,6.0,201.0,0.006847
lca,50,20,2.0,0.5,0.5,5,15,291.0,6.0,201.0,0.003885
segdup,50,20,2.0,0.5,0.5,5,20,321,6,201,0.015345
fastmultrec,50,20,2.0,0.5,0.5,5,20,321.0,6.0,201.0,0.007113
insider,50,20,2.0,0.5,0.5,5,20,321.0,6.0,201.0,0.006039
lca,50,20,2.0,0.5,0.5,5,20,321.0,6.0,201.0,0.003547
segdup,50,20,2.0,0.5,0.5,6,25,238,2,188,0.015227
fastmultrec,50,20,2.0,0.5,0.5,6,25,238.0,2.0,188.0,0.008550
insider,50,20,2.0,0.5,0.5,6,25,238.0,2.0,188.0,0.004582
lca,50,20,2.0,0.5,0.5,6,25,238.0,2.0,188.0,0.003864
segdup,50,20,2.0,0.5,0.5,6,5,198,2,188,0.015000
fastmultrec,50,20,2.0,0.5,0.5,6,5,198.0,2.0,188.0,0.008369
insider,50,20,2.0,0.5,0.5,6,5,198.0,2.0,188.0,0.004626
lca,50,20,2.0,0.5,0.5,6,5,198.0,2.0,188.0,0.003248
segdup,50,20,2.0,0.5,0.5,6,10,208,2,188,0.017469
fastmultrec,50,20,2.0,0.5,0.5,6,10,208.0,2.0,188.0,0.008087
insider,50,20,2.0,0.5,0.5,6,10,208.0,2.0,188.0,0.005786
lca,50,20,2.0,0.5,0.5,6,10,208.0,2.0,188.0,0.003503
segdup,50,20,2.0,0.5,0.5,6,15,218,2,188,0.020237
fastmultrec,50,20,2.0,0.5,0.5,6,15,218.0,2.0,188.0,0.006646
insider,50,20,2.0,0.5,0.5,6,15,218.0,2.0,188.0,0.004750
lca,50,20,2.0,0.5,0.5,6,15,218.0,2.0,188.0,0.004153
segdup,50,20,2.0,0.5,0.5,6,20,228,2,188,0.017142
fastmultrec,50,20,2.0,0.5,0.5,6,20,228.0,2.0,188.0,0.006411
insider,50,20,2.0,0.5,0.5,6,20,228.0,2.0,188.0,0.004302
lca,50,20,2.0,0.5,0.5,6,20,228.0,2.0,188.0,0.005203
segdup,50,20,2.0,0.5,0.5,7,25,636,11,361,0.048635
fastmultrec,50,20,2.0,0.5,0.5,7,25,582.0,9.0,357.0,0.035118
insider,50,20,2.0,0.5,0.5,7,25,563.0,8.0,363.0,0.008041
lca,50,20,2.0,0.5,0.5,7,25,722.0,15.0,347.0,0.004681
segdup,50,20,2.0,0.5,0.5,7,5,419,14,349,0.040830
fastmultrec,50,20,2.0,0.5,0.5,7,5,402.0,9.0,357.0,0.034845
insider,50,20,2.0,0.5,0.5,7,5,402.0,9.0,357.0,0.008368
lca,50,20,2.0,0.5,0.5,7,5,422.0,15.0,347.0,0.005182
segdup,50,20,2.0,0.5,0.5,7,10,476,12,356,0.042547
fastmultrec,50,20,2.0,0.5,0.5,7,10,447.0,9.0,357.0,0.033445
insider,50,20,2.0,0.5,0.5,7,10,443.0,8.0,363.0,0.007659
lca,50,20,2.0,0.5,0.5,7,10,497.0,15.0,347.0,0.004380
segdup,50,20,2.0,0.5,0.5,7,15,524,11,359,0.043924
fastmultrec,50,20,2.0,0.5,0.5,7,15,492.0,9.0,357.0,0.035992
insider,50,20,2.0,0.5,0.5,7,15,483.0,8.0,363.0,0.009711
lca,50,20,2.0,0.5,0.5,7,15,572.0,15.0,347.0,0.004663
segdup,50,20,2.0,0.5,0.5,7,20,566,10,366,0.048594
fastmultrec,50,20,2.0,0.5,0.5,7,20,537.0,9.0,357.0,0.035119
insider,50,20,2.0,0.5,0.5,7,20,523.0,8.0,363.0,0.008551
lca,50,20,2.0,0.5,0.5,7,20,647.0,15.0,347.0,0.004663
segdup,50,20,2.0,0.5,0.5,8,25,495,9,270,0.027265
fastmultrec,50,20,2.0,0.5,0.5,8,25,450.0,7.0,275.0,0.024859
insider,50,20,2.0,0.5,0.5,8,25,450.0,7.0,275.0,0.006671
lca,50,20,2.0,0.5,0.5,8,25,564.0,12.0,264.0,0.004476
segdup,50,20,2.0,0.5,0.5,8,5,321,11,266,0.026411
fastmultrec,50,20,2.0,0.5,0.5,8,5,310.0,7.0,275.0,0.027159
insider,50,20,2.0,0.5,0.5,8,5,310.0,7.0,275.0,0.004980
lca,50,20,2.0,0.5,0.5,8,5,324.0,12.0,264.0,0.003363
segdup,50,20,2.0,0.5,0.5,8,10,360,9,270,0.027041
fastmultrec,50,20,2.0,0.5,0.5,8,10,345.0,7.0,275.0,0.025690
insider,50,20,2.0,0.5,0.5,8,10,345.0,7.0,275.0,0.005991
lca,50,20,2.0,0.5,0.5,8,10,384.0,12.0,264.0,0.003412
segdup,50,20,2.0,0.5,0.5,8,15,419,10,269,0.034816
fastmultrec,50,20,2.0,0.5,0.5,8,15,380.0,7.0,275.0,0.027526
