method,planted_wgds,duprate,simid,dup_cost,solution_cost,solution_nbdups,solution_nblosses,time
segdup,1,10,1,5,11,2,1,0.684
insider,1,10,1,5,11.0,2.0,1.0,0.069
insider_relax,1,10,1,5,11.0,2.0,1.0,0.070
fastmultrec_greedy,1,10,1,5,11.0,2.0,1.0,0.201
lcamap,1,10,1,5,11.0,2.0,1.0,0.042
segdup,1,10,1,10,21,2,1,0.628
insider,1,10,1,10,21.0,2.0,1.0,0.064
insider_relax,1,10,1,10,21.0,2.0,1.0,0.070
fastmultrec_greedy,1,10,1,10,21.0,2.0,1.0,0.201
lcamap,1,10,1,10,21.0,2.0,1.0,0.042
segdup,1,10,1,15,31,2,1,0.589
insider,1,10,1,15,31.0,2.0,1.0,0.064
insider_relax,1,10,1,15,31.0,2.0,1.0,0.063
fastmultrec_greedy,1,10,1,15,31.0,2.0,1.0,0.205
lcamap,1,10,1,15,31.0,2.0,1.0,0.039
segdup,1,10,1,20,41,2,1,0.563
insider,1,10,1,20,41.0,2.0,1.0,0.064
insider_relax,1,10,1,20,41.0,2.0,1.0,0.066
fastmultrec_greedy,1,10,1,20,31.0,2.0,1.0,0.148
lcamap,1,10,1,20,41.0,2.0,1.0,0.043
segdup,1,10,1,22,45,2,1,0.757
insider,1,10,1,22,45.0,2.0,1.0,0.071
insider_relax,1,10,1,22,45.0,2.0,1.0,0.078
fastmultrec_greedy,1,10,1,22,45.0,2.0,1.0,0.239
lcamap,1,10,1,22,45.0,2.0,1.0,0.044
segdup,1,10,1,23,47,2,1,0.702
insider,1,10,1,23,47.0,2.0,1.0,0.071
insider_relax,1,10,1,23,47.0,2.0,1.0,0.070
fastmultrec_greedy,1,10,1,23,47.0,2.0,1.0,0.193
lcamap,1,10,1,23,47.0,2.0,1.0,0.038
segdup,1,7,1,5,300,51,45,0.905
insider,1,7,1,5,300.0,51.0,45.0,0.173
insider_relax,1,7,1,5,300.0,51.0,45.0,0.211
fastmultrec_greedy,1,7,1,5,300.0,51.0,45.0,0.380
