method,planted_wgds,duprate,simid,dup_cost,solution_cost,solution_nbdups,solution_nblosses,time
segdup,1,10,10,10,10,1,0,168.784263
insider,1,10,10,10,10.0,1.0,0.0,0.094625
fastmultrec_greedy,1,10,10,10,10.0,1.0,0.0,0.395388
lcamap,1,10,10,10,10.0,1.0,0.0,0.063185
segdup,1,10,10,15,15,1,0,99.425718
insider,1,10,10,15,15.0,1.0,0.0,0.095638
fastmultrec_greedy,1,10,10,15,15.0,1.0,0.0,0.401986
lcamap,1,10,10,15,15.0,1.0,0.0,0.066158
segdup,1,10,10,20,20,1,0,129.905099
insider,1,10,10,20,20.0,1.0,0.0,0.092441
fastmultrec_greedy,1,10,10,20,20.0,1.0,0.0,0.401749
lcamap,1,10,10,20,20.0,1.0,0.0,0.060492
segdup,1,10,10,25,25,1,0,98.582964
insider,1,10,10,25,25.0,1.0,0.0,0.091777
fastmultrec_greedy,1,10,10,25,25.0,1.0,0.0,0.398291
lcamap,1,10,10,25,25.0,1.0,0.0,0.062289
segdup,1,10,10,5,5,1,0,176.899172
insider,1,10,10,5,5.0,1.0,0.0,0.095596
fastmultrec_greedy,1,10,10,5,5.0,1.0,0.0,0.400133
lcamap,1,10,10,5,5.0,1.0,0.0,0.061839
segdup,1,11,10,10,20,2,0,102.961963
insider,1,11,10,10,20.0,2.0,0.0,0.058858
fastmultrec_greedy,1,11,10,10,20.0,2.0,0.0,0.197322
lcamap,1,11,10,10,20.0,2.0,0.0,0.035929
segdup,1,11,10,15,30,2,0,84.688535
insider,1,11,10,15,30.0,2.0,0.0,0.058594
fastmultrec_greedy,1,11,10,15,30.0,2.0,0.0,0.198136
lcamap,1,11,10,15,30.0,2.0,0.0,0.035927
segdup,1,11,10,20,40,2,0,57.677149
insider,1,11,10,20,40.0,2.0,0.0,0.057082
fastmultrec_greedy,1,11,10,20,40.0,2.0,0.0,0.195794
lcamap,1,11,10,20,40.0,2.0,0.0,0.034301
segdup,1,11,10,25,50,2,0,57.260151
insider,1,11,10,25,50.0,2.0,0.0,0.060263
fastmultrec_greedy,1,11,10,25,50.0,2.0,0.0,0.200067
lcamap,1,11,10,25,50.0,2.0,0.0,0.034820
segdup,1,11,10,5,10,2,0,102.211864
insider,1,11,10,5,10.0,2.0,0.0,0.058375
fastmultrec_greedy,1,11,10,5,10.0,2.0,0.0,0.198701
lcamap,1,11,10,5,10.0,2.0,0.0,0.034493
segdup,1,15,10,10,10,1,0,107.283594
insider,1,15,10,10,10.0,1.0,0.0,0.061646
fastmultrec_greedy,1,15,10,10,10.0,1.0,0.0,0.210418
lcamap,1,15,10,10,10.0,1.0,0.0,0.038768
segdup,1,15,10,15,15,1,0,63.870162
insider,1,15,10,15,15.0,1.0,0.0,0.061390
fastmultrec_greedy,1,15,10,15,15.0,1.0,0.0,0.211413
lcamap,1,15,10,15,15.0,1.0,0.0,0.037625
segdup,1,15,10,20,20,1,0,58.925172
insider,1,15,10,20,20.0,1.0,0.0,0.062857
fastmultrec_greedy,1,15,10,20,20.0,1.0,0.0,0.211184
lcamap,1,15,10,20,20.0,1.0,0.0,0.038186
segdup,1,15,10,25,25,1,0,61.188230
insider,1,15,10,25,25.0,1.0,0.0,0.063260
fastmultrec_greedy,1,15,10,25,25.0,1.0,0.0,0.212262
lcamap,1,15,10,25,25.0,1.0,0.0,0.037924
segdup,1,15,10,5,5,1,0,110.030762
insider,1,15,10,5,5.0,1.0,0.0,0.061630
fastmultrec_greedy,1,15,10,5,5.0,1.0,0.0,0.210899
lcamap,1,15,10,5,5.0,1.0,0.0,0.038028
segdup,1,8,10,10,203,18,23,113.518050
insider,1,8,10,10,199.0,17.0,29.0,0.085765
fastmultrec_greedy,1,8,10,10,203.0,18.0,23.0,0.276344
lcamap,1,8,10,10,203.0,18.0,23.0,0.041342
segdup,1,8,10,15,293,18,23,106.093828
insider,1,8,10,15,284.0,17.0,29.0,0.100229
fastmultrec_greedy,1,8,10,15,293.0,18.0,23.0,0.275420
lcamap,1,8,10,15,293.0,18.0,23.0,0.040001
segdup,1,8,10,20,377,17,37,105.406950
insider,1,8,10,20,369.0,17.0,29.0,0.139569
fastmultrec_greedy,1,8,10,20,383.0,18.0,23.0,0.275974
lcamap,1,8,10,20,383.0,18.0,23.0,0.041439
segdup,1,8,10,25,473,18,23,84.360499
insider,1,8,10,25,451.0,16.0,51.0,0.292397
fastmultrec_greedy,1,8,10,25,473.0,18.0,23.0,0.276922
lcamap,1,8,10,25,473.0,18.0,23.0,0.040454
segdup,1,8,10,5,113,18,23,108.964615
insider,1,8,10,5,113.0,18.0,23.0,0.075549
fastmultrec_greedy,1,8,10,5,113.0,18.0,23.0,0.275886
lcamap,1,8,10,5,113.0,18.0,23.0,0.040975
segdup,1,9,10,10,53,5,3,134.768298
insider,1,9,10,10,53.0,5.0,3.0,0.068925
fastmultrec_greedy,1,9,10,10,53.0,5.0,3.0,0.216569
lcamap,1,9,10,10,53.0,5.0,3.0,0.038744
segdup,1,9,10,15,78,5,3,120.792124
