method,planted_wgds,duprate,simid,dup_cost,solution_cost,solution_nbdups,solution_nblosses,time
segdup,2,7,1,25,4981,152,1181,193.162119
insider,2,7,1,25,4389.0,115.0,1514.0,2.426086
fastmultrec_greedy,2,7,1,25,4555.0,131.0,1280.0,8.304619
lcamap,2,7,1,25,4981.0,152.0,1181.0,0.071046
segdup,2,8,1,25,1624,58,174,146.279135
insider,2,8,1,25,1558.0,50.0,308.0,17.501996
fastmultrec_greedy,2,8,1,25,1643.0,59.0,168.0,0.531928
lcamap,2,8,1,25,1643.0,59.0,168.0,0.072032
segdup,2,9,1,25,262,10,12,87.082484
insider,2,9,1,25,262.0,10.0,12.0,0.238414
fastmultrec_greedy,2,9,1,25,262.0,10.0,12.0,0.267447
lcamap,2,9,1,25,262.0,10.0,12.0,0.041307
segdup,2,11,1,25,50,2,0,106.590142
insider,2,11,1,25,50.0,2.0,0.0,0.136386
fastmultrec_greedy,2,11,1,25,50.0,2.0,0.0,0.570782
lcamap,2,11,1,25,50.0,2.0,0.0,0.082671
segdup,1,7,1,25,7636,219,2161,332.884900
insider,1,7,1,25,6720.0,157.0,2795.0,5.832706
fastmultrec_greedy,1,7,1,25,7033.0,186.0,2383.0,22.319645
lcamap,1,7,1,25,7636.0,219.0,2161.0,0.107802
segdup,1,8,1,25,1029,38,79,41.509581
insider,1,8,1,25,896.0,26.0,246.0,6.304190
fastmultrec_greedy,1,8,1,25,1026.0,38.0,76.0,0.259626
lcamap,1,8,1,25,1064.0,40.0,64.0,0.018065
segdup,1,9,1,25,284,11,9,39.783864
insider,1,9,1,25,284.0,11.0,9.0,0.256411
fastmultrec_greedy,1,9,1,25,284.0,11.0,9.0,0.157518
lcamap,1,9,1,25,284.0,11.0,9.0,0.022739
segdup,1,10,1,25,75,3,0,61.498697
insider,1,10,1,25,75.0,3.0,0.0,0.063704
fastmultrec_greedy,1,10,1,25,75.0,3.0,0.0,0.210541
lcamap,1,10,1,25,75.0,3.0,0.0,0.034431
segdup,1,11,1,25,26,1,1,80.417138
insider,1,11,1,25,26.0,1.0,1.0,0.080297
fastmultrec_greedy,1,11,1,25,26.0,1.0,1.0,0.337560
lcamap,1,11,1,25,26.0,1.0,1.0,0.051669
segdup,2,7,2,25,1862,66,212,112.397361
insider,2,7,2,25,1664.0,50.0,414.0,16.359251
fastmultrec_greedy,2,7,2,25,1791.0,63.0,216.0,2.184813
lcamap,2,7,2,25,1898.0,68.0,198.0,0.050190
segdup,2,8,2,25,1310,47,135,93.692538
insider,2,8,2,25,1287.0,45.0,162.0,11.238161
fastmultrec_greedy,2,8,2,25,1294.0,46.0,144.0,0.472887
lcamap,2,8,2,25,1310.0,47.0,135.0,0.047292
segdup,2,9,2,25,475,18,25,39.354554
insider,2,9,2,25,475.0,18.0,25.0,0.243317
fastmultrec_greedy,2,9,2,25,475.0,18.0,25.0,0.151374
lcamap,2,9,2,25,475.0,18.0,25.0,0.027132
segdup,2,10,2,25,102,4,2,42.830458
insider,2,10,2,25,102.0,4.0,2.0,0.071014
fastmultrec_greedy,2,10,2,25,102.0,4.0,2.0,0.230495
lcamap,2,10,2,25,102.0,4.0,2.0,0.035681
segdup,2,11,2,25,50,2,0,83.251260
insider,2,11,2,25,50.0,2.0,0.0,0.106935
fastmultrec_greedy,2,11,2,25,50.0,2.0,0.0,0.383863
lcamap,2,11,2,25,50.0,2.0,0.0,0.066109
segdup,1,7,2,25,4249,123,1174,109.278963
insider,1,7,2,25,3744.0,88.0,1544.0,5.067504
fastmultrec_greedy,1,7,2,25,3954.0,107.0,1279.0,2.474918
lcamap,1,7,2,25,4253.0,124.0,1153.0,0.029498
segdup,1,8,2,25,1345,51,70,86.444318
insider,1,8,2,25,1297.0,45.0,172.0,29.846661
fastmultrec_greedy,1,8,2,25,1345.0,51.0,70.0,0.309478
lcamap,1,8,2,25,1345.0,51.0,70.0,0.047072
segdup,1,9,2,25,340,13,15,66.279574
insider,1,9,2,25,340.0,13.0,15.0,0.488750
fastmultrec_greedy,1,9,2,25,340.0,13.0,15.0,0.165230
lcamap,1,9,2,25,340.0,13.0,15.0,0.028417
segdup,1,10,2,25,25,1,0,62.131547
insider,1,10,2,25,25.0,1.0,0.0,0.059305
fastmultrec_greedy,1,10,2,25,25.0,1.0,0.0,0.242799
lcamap,1,10,2,25,25.0,1.0,0.0,0.037049
segdup,1,11,2,25,25,1,0,73.239724
insider,1,11,2,25,25.0,1.0,0.0,0.068712
fastmultrec_greedy,1,11,2,25,25.0,1.0,0.0,0.254892
lcamap,1,11,2,25,25.0,1.0,0.0,0.043443
segdup,2,8,3,25,2321,86,171,199.596993
insider,2,8,3,25,-1,-1,-1,9999999999.000000
fastmultrec_greedy,2,8,3,25,2275.0,84.0,175.0,2.005654
lcamap,2,8,3,25,2337.0,87.0,162.0,0.095561
segdup,2,9,3,25,209,8,9,46.377034
insider,2,9,3,25,209.0,8.0,9.0,0.109745
fastmultrec_greedy,2,9,3,25,209.0,8.0,9.0,0.204694
lcamap,2,9,3,25,209.0,8.0,9.0,0.038563
segdup,2,10,3,25,50,2,0,116.936649
insider,2,10,3,25,50.0,2.0,0.0,0.142125
fastmultrec_greedy,2,10,3,25,50.0,2.0,0.0,0.575860
lcamap,2,10,3,25,50.0,2.0,0.0,0.089301
segdup,1,7,3,25,36391,83,34316,172.446381
insider,1,7,3,25,35835.0,66.0,34185.0,0.981964
fastmultrec_greedy,1,7,3,25,35878.0,67.0,34203.0,5.455095
lcamap,1,7,3,25,36598.0,110.0,33848.0,0.037789
segdup,1,8,3,25,1771,65,146,102.722254
insider,1,8,3,25,1668.0,55.0,293.0,3.273255
fastmultrec_greedy,1,8,3,25,1790.0,66.0,140.0,0.300633
lcamap,1,8,3,25,1790.0,66.0,140.0,0.049664
segdup,1,9,3,25,278,11,3,78.889072
insider,1,9,3,25,278.0,11.0,3.0,0.120051
fastmultrec_greedy,1,9,3,25,278.0,11.0,3.0,0.239138
lcamap,1,9,3,25,278.0,11.0,3.0,0.049357
segdup,1,10,3,25,25,1,0,51.516455
insider,1,10,3,25,25.0,1.0,0.0,0.051893
fastmultrec_greedy,1,10,3,25,25.0,1.0,0.0,0.234293
lcamap,1,10,3,25,25.0,1.0,0.0,0.030945
segdup,1,11,3,25,25,1,0,83.508507
insider,1,11,3,25,25.0,1.0,0.0,0.074203
fastmultrec_greedy,1,11,3,25,25.0,1.0,0.0,0.272167
lcamap,1,11,3,25,25.0,1.0,0.0,0.046695
segdup,2,7,4,25,6075,165,1950,454.944915
insider,2,7,4,25,5429.0,122.0,2379.0,4.260071
fastmultrec_greedy,2,7,4,25,5612.0,141.0,2087.0,21.766821
lcamap,2,7,4,25,6075.0,165.0,1950.0,0.126383
segdup,2,8,4,25,963,36,63,75.155110
insider,2,8,4,25,876.0,29.0,151.0,53.689509
fastmultrec_greedy,2,8,4,25,922.0,34.0,72.0,0.564110
lcamap,2,8,4,25,963.0,36.0,63.0,0.037805
segdup,2,9,4,25,125,5,0,94.673560
insider,2,9,4,25,125.0,5.0,0.0,0.136085
fastmultrec_greedy,2,9,4,25,125.0,5.0,0.0,0.564802
lcamap,2,9,4,25,125.0,5.0,0.0,0.070280
segdup,2,10,4,25,76,3,1,73.949627
insider,2,10,4,25,76.0,3.0,1.0,0.095500
fastmultrec_greedy,2,10,4,25,76.0,3.0,1.0,0.325524
lcamap,2,10,4,25,76.0,3.0,1.0,0.053031
segdup,2,11,4,25,50,2,0,57.133708
insider,2,11,4,25,50.0,2.0,0.0,0.061547
fastmultrec_greedy,2,11,4,25,50.0,2.0,0.0,0.206132
